eeschema (2013-may-18)-stable  >> Creation date: Fri Feb  6 22:51:43 2015
#Cmp ( order = Reference )
| 15k          R39       ; SMD_Packages:SMD-0603_r;             
| 15k          R73       ; SMD_Packages:SMD-0603_r;             
| 18k          R36       ; SMD_Packages:SMD-0603_r;             
| 18k          R70       ; SMD_Packages:SMD-0603_r;             
| 33k          R1        ; SMD_Packages:SMD-0603_r;             
| 33k          R16       ; SMD_Packages:SMD-0603_r;             
| 33k          R61       ; SMD_Packages:SMD-0603_r;             
| 33k          R19       ; SMD_Packages:SMD-0603_r;             
| 33k          R64       ; SMD_Packages:SMD-0603_r;             
| 33k          R22       ; SMD_Packages:SMD-0603_r;             
| 33k          R67       ; SMD_Packages:SMD-0603_r;             
| 33k          R46       ; SMD_Packages:SMD-0603_r;             
| 33k          R80       ; SMD_Packages:SMD-0603_r;             
| 33k          R48       ; SMD_Packages:SMD-0603_r;             
| 33k          R82       ; SMD_Packages:SMD-0603_r;             
| 33k          R50       ; SMD_Packages:SMD-0603_r;             
| 33k          R84       ; SMD_Packages:SMD-0603_r;             
| 33k          R86       ; SMD_Packages:SMD-0603_r;             
| 33k          R98       ; SMD_Packages:SMD-0603_r;             
| 33k          R88       ; SMD_Packages:SMD-0603_r;             
| 33k          R100      ; SMD_Packages:SMD-0603_r;             
| 33k          R90       ; SMD_Packages:SMD-0603_r;             
| 33k          R102      ; SMD_Packages:SMD-0603_r;             
| 33k          R92       ; SMD_Packages:SMD-0603_r;             
| 33k          R104      ; SMD_Packages:SMD-0603_r;             
| 33k          R94       ; SMD_Packages:SMD-0603_r;             
| 33k          R106      ; SMD_Packages:SMD-0603_r;             
| 33k          R96       ; SMD_Packages:SMD-0603_r;             
| 33k          R108      ; SMD_Packages:SMD-0603_r;             
| 220k         R40       ; SMD_Packages:SMD-0603_r;             
| 220k         R74       ; SMD_Packages:SMD-0603_r;             
| 330k         R34       ; SMD_Packages:SMD-0603_r;             
| 330k         R68       ; SMD_Packages:SMD-0603_r;             
| 1M           R41       ; SMD_Packages:SMD-0603_r;             
| 1M           R75       ; SMD_Packages:SMD-0603_r;             
| SHUNT        R10       ; CRF1:WSLP2726;             
| SHUNT        R11       ; CRF1:WSLP2726;             
| SHUNT        R12       ; CRF1:WSLP2726;             
| SHUNT        R13       ; CRF1:WSLP2726;             
| NTC 10k      R23       ; SMD_Packages:SMD-0603_r;             
| NI           R25       ; SMD_Packages:SMD-0603_r;             
| DRV8302      U2        ; CRF1:TSSOP-56-PP;             
| DRV8302      U5        ; CRF1:TSSOP-56-PP;             
| SN65HVD232   U1        ; SMD_Packages:SOIC-8-W;             
| NCP1117ST33T3G U3        ; SMD_Packages:SOT-223;             
| NCP1117ST33T3G U6        ; SMD_Packages:SOT-223;             
| STM32F40X_LQFP144 U4        ; ~           ; ~           
| 8MHz 10ppm   X2        ; CRF1:Crystal_5x3mm;             
| MINI-USB-SHIELD-32005-201 X1        ; CRF1:con-cypressindustries-32005-201;             
